PLAYER_NAME,DRAFT_NUMBER,active_cap,dead_cap,OWNER_NET_WORTH_B,Capacity,STADIUM_YEAR_OPENED,STADIUM_COST,Followers,Age,is_USA
Cory Joseph,0.5143894306799492,0.6727602807485752,0.5101815957686239,0.5121346456750986,0.4616263969513676,0.37650270153133847,0.5090495039377314,0.262135570430842,0.7227848128002952,0.6177875836839227
Anthony Davis,0.5018012572360895,0.49651519050843546,0.5099925521699916,0.4687047480529594,0.5119652754949391,0.5080564756837989,0.5090302263325169,0.5304132254209801,0.5809022248886708,0.48937351499815285
Bradley Beal,0.4961751866177951,0.4263025889956844,0.5096759318513466,0.4909277369006518,0.4813125883130663,0.4875531163472324,0.508848080399501,0.5633280702893632,0.6602772058457695,0.49049966198937023
Damian Lillard,0.5023680741450626,0.4023733534611724,0.510186477147641,0.5108935275962311,0.45593808071693526,0.37956391473340123,0.5091231005681233,0.5775347419941154,0.7843073134965703,0.49440889694930956
Andre Drummond,0.4995319006610156,0.4609649660763693,0.5099092948781723,0.47939914866293154,0.5420376479541797,0.535431053646666,0.508767972592262,0.5400361637498639,0.545816427641567,0.47557498972848444
Harrison Barnes,0.4990275966427177,0.6259814720642819,0.5080242277098228,0.5476184545956775,0.5137567893040528,0.5069355231676319,0.5087456842051137,0.5459738746586835,0.6639565934689828,0.4903109714209417
Jae Crowder,0.5143565929260917,0.5321291538181361,0.5096967071393294,0.5638418329235861,0.47644442121970465,0.4508093203190952,0.5090409979931991,0.4290201760387042,0.560185764303199,0.48346601489786684
Draymond Green,0.5229447619542126,0.49831040293450973,0.5100351687260485,0.52731293163853,0.4948362785746123,0.45749807881132376,0.5095776130098286,0.5306563995408449,0.5527244047609983,0.4860881886198509
Khris Middleton,0.5246710670452907,0.5099374389893774,0.5086898995767359,0.5297933499012896,0.5381582157272153,0.5148497772266636,0.5088973810688174,0.5193856606398917,0.6713555263413434,0.48125851697145244
Alex Len,0.49976080802338085,0.49190449873980446,0.5095283212095749,0.4911984677911546,0.5119580380813117,0.515835058838636,0.5089128083911423,0.5374861883178847,0.5286854284113968,0.5282718079226753
CJ McCollum,0.5046680538970824,0.460568887684955,0.5102231063968388,0.5109395775043362,0.4700358543526454,0.5281446448969869,0.5087530197483664,0.5227950306385895,0.7476527544508312,0.4959021274299292
Dennis Schröder,0.5061579604186988,0.583152152357662,0.5083516975990663,0.486139388878042,0.5444280894116789,0.4387735198770774,0.5093146978050286,0.5643868198842013,0.5953581349308189,0.5701370190419405
