Player_Name,Salary
Hartenstein  Isaiah Hartenstein,"$30,000,000"
Dort  Luguentz Dort,"$17,000,000"
Joe  Isaiah Joe,"$12,991,650"
Wiggins  Aaron Wiggins,"$10,981,303"
Holmgren  Chet Holmgren,"$10,880,640"
Caruso  Alex Caruso,"$9,890,000"
Williams  Kenrich Williams,"$6,669,000"
Wallace  Cason Wallace,"$5,555,880"
Dieng  Ousmane Dieng,"$5,027,040"
Topic  Nikola Topic,"$4,935,960"
Williams  Jalen Williams,"$4,775,760"
Mitchell  Ajay Mitchell,"$3,000,000"
Jones  Dillon Jones,"$2,622,360"
Williams  Jaylin Williams,"$2,019,699"
Isaac  Jonathan Isaac,"$27,600,000"
Caldwell-Pope  Kentavious Caldwell-Pope,"$22,757,000"
Anthony  Cole Anthony,"$12,900,000"
Banchero  Paolo Banchero,"$12,160,800"
Carter Jr.  Wendell Carter Jr.,"$11,950,000"
Wagner  Moritz Wagner,"$11,000,000"
Suggs  Jalen Suggs,"$9,188,385"
Bitadze  Goga Bitadze,"$9,057,971"
Black  Anthony Black,"$7,607,760"
Harris  Gary Harris,"$7,500,000"
Wagner  Franz Wagner,"$7,007,092"
Howard  Jett Howard,"$5,278,320"
Da Silva  Tristan Da Silva,"$3,628,440"
Joseph  Cory Joseph,"$3,303,771"
Houstan  Caleb Houstan,"$2,019,699"
Embiid  Joel Embiid,"$51,415,938"
George  Paul George,"$49,205,800"
Maxey  Tyrese Maxey,"$35,147,000"
Oubre Jr.  Kelly Oubre Jr.,"$7,983,000"
Drummond  Andre Drummond,"$5,000,000"
Grimes  Quentin Grimes,"$4,296,682"
McCain  Jared McCain,"$4,020,360"
Gordon  Eric Gordon,"$3,303,771"
Lowry  Kyle Lowry,"$2,087,519"
Yabusele  Guerschon Yabusele,"$2,087,519"
Council IV  Ricky Council IV,"$1,891,857"
Bona  Adem Bona,"$1,157,153"
Walker IV  Lonnie Walker IV,"$780,932"
Butler  Jared Butler,"$745,726"
Edwards  Justin Edwards,"$425,619"
Durant  Kevin Durant,"$51,179,021"
Beal  Bradley Beal,"$50,203,930"
Booker  Devin Booker,"$49,205,800"
Allen  Grayson Allen,"$15,625,000"
O'Neale  Royce O'Neale,"$9,375,000"
Martin  Cody Martin,"$8,120,000"
Micic  Vasilije Micic,"$7,723,000"
Richards  Nick Richards,"$5,000,000"
Dunn  Ryan Dunn,"$2,530,800"
Plumlee  Mason Plumlee,"$2,087,519"
Jones  Tyus Jones,"$2,087,519"
Lee  Damion Lee,"$2,087,519"
Morris  Monte Morris,"$2,087,519"
Bol  Bol Bol,"$2,087,519"
Ighodaro  Oso Ighodaro,"$1,157,153"
Ayton  Deandre Ayton,"$34,005,126"
Grant  Jerami Grant,"$29,793,104"
Simons  Anfernee Simons,"$25,892,857"
Avdija  Deni Avdija,"$15,625,000"
Williams III  Robert Williams III,"$12,428,571"
Thybulle  Matisse Thybulle,"$11,025,000"
Henderson  Scoot Henderson,"$10,259,160"
Clingan  Donovan Clingan,"$6,836,400"
Sharpe  Shaedon Sharpe,"$6,614,160"
Murray  Kris Murray,"$2,990,040"
Banton  Dalano Banton,"$2,196,970"
Reath  Duop Reath,"$2,048,780"
Walker  Jabari Walker,"$2,019,699"
Camara  Toumani Camara,"$1,891,857"
Rupert  Rayan Rupert,"$1,891,857"
LaVine  Zach LaVine,"$44,531,940"
Sabonis  Domantas Sabonis,"$39,200,000"
DeRozan  DeMar DeRozan,"$23,400,000"
Monk  Malik Monk,"$17,405,203"
Valanciunas  Jonas Valanciunas,"$9,900,000"
Murray  Keegan Murray,"$8,809,560"
Lyles  Trey Lyles,"$8,000,000"
Carter  Devin Carter,"$4,689,000"
LaRavia  Jake LaRavia,"$3,352,680"
Ellis  Keon Ellis,"$2,120,693"
McDermott  Doug McDermott,"$2,087,519"
Crowder  Jae Crowder,"$1,655,619"
Fultz  Markelle Fultz,"$731,831"
Jones  Isaac Jones,"$152,957"
